The password doesn't match this account. Verify the password and try again.,Invalid current password
Now Shopping by,Now Shopping by
Previous,Previous
Remove,Remove
Sign Out,Log Out
Remove This Item,Remove This Item
The password doesn't match this account. Verify the password and try again.,Invalid current password
Shop By,Shop By
Clear All,Clear All
Shopping Options,Shopping Options
Welcome to %store_name,Welcome to %store_name
"%name,","%name,"
Welcome to %store_name.,Welcome to %store_name.
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:"
Email:,Email:
Password:,Password:
Password you set when creating account,Password you set when creating account
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it."
"When you sign in to your account, you will be able to:","When you sign in to your account, you will be able to:"
Quick Checkout,Quick Checkout
Proceed through checkout faster,Proceed through checkout faster
Order Status,Order Status
Check the status of orders,Check the status of orders
Manage Addresses,Manage Addresses
Store alternative addresses,Store alternative addresses
For shipping to multiple family members and friends,For shipping to multiple family members and friends
Order History,Order History
View past orders,View past orders
Footer,Footer
About Us,About Us
Customer Service,Customer Service
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Hours of Operation:<br /><span class=""no-link"">%store_hours</span>."
Credit memo for your %store_name order,Credit memo for your %store_name order
Thank you for your order from %store_name.,Thank you for your order from %store_name.
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","You can check the status of your order by <a href=""%account_url"">logging into your account</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>."
Your Credit Memo #%creditmemo_id for Order #%order_id,Your Credit Memo #%creditmemo_id for Order #%order_id
Billing Info,Billing Info
Shipping Info,Shipping Info
Payment Method,Payment Method
Shipping Method,Shipping Method
Update to your %store_name credit memo,Update to your %store_name credit memo
Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.,Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.
Invoice for your %store_name order,Invoice for your %store_name order
Your Invoice #%invoice_id for Order #%order_id,Your Invoice #%invoice_id for Order #%order_id
Update to your %store_name invoice,Update to your %store_name invoice
Your %store_name order confirmation,Your %store_name order confirmation
"%customer_name,","%customer_name,"
Once your package ships we will send you a tracking number.,Once your package ships we will send you a tracking number.
"Your Order <span class=""no-link"">#%increment_id</span>","Your Order <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Placed on <span class=""no-link"">%created_at</span>"
Update to your %store_name order,Update to your %store_name order
Your %store_name order has shipped,Your %store_name order has shipped
Your shipping confirmation is below. Thank you again for your business.,Your shipping confirmation is below. Thank you again for your business.
Your Shipment #%shipment_id for Order #%order_id,Your Shipment #%shipment_id for Order #%order_id
Update to your %store_name shipment,Update to your %store_name shipment
Address Book,Address Book
Account Information,Account Information
Wish List," ""Portfolio"""
Create New Wish List,Create New Portfolio
Wish List Name,Portfolio Name
Add to Cart,ADD TO CART
Public Wish List,Public Portfolio
%1 has been removed from your Wish List.,%1 has been removed from your Portfolio
You have no items in your wish list.,You have no items in your Portfolio.
Go to Wish List,Go to Portfolio
Update Wish List,Update Portfolio
Share Wish List,Share Portfolio
Sign Out,Log Out
%1 items in wish list,%1 ITEMS
1 item in wish list,1 ITEM
Wish List Sharing,Share Your Portfolio
%1 has been updated in your Wish List.,%1 has been updated in your Portfolio
My Wish List,My Portfolio
%1 has been added to your Wish List.,%1 has been added to your Portfolio.
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping."
Provide the wish list name.,Provide the Portfolio name.
Could not create a wish list.,Could not create a Portfolio.
%1 has been moved to your wish list.,%1 has been moved to Portfolio.
We can\'t move the item to the wish list.,We can\'t move the item to Portfolio.
Your wish list has been shared.,Your Portfolio has been shared.
"""%1"" was moved to %2.","""%1"" was successfully moved to %2."
"""%1"" was copied to %2.","""%1"" was successfully copied to %2."
